,label,path
1029,0,../chaoyang-data/train/537501-IMG008x009-0.JPG
3679,2,../chaoyang-data/train/543645_1-IMG013x026-2.JPG
740,1,../chaoyang-data/train/536707_1-IMG009x006-1.JPG
1728,1,../chaoyang-data/train/538879-1-IMG037x014-1.JPG
3960,2,../chaoyang-data/train/543716-IMG010x008-2.JPG
1627,1,../chaoyang-data/train/538849-2-IMG007x004-1.JPG
2799,2,../chaoyang-data/train/540293_1-IMG012x008-2.JPG
6,1,../chaoyang-data/train/353042_4-IMG009x015-1.JPG
3698,2,../chaoyang-data/train/543645_1-IMG015x018-2.JPG
603,0,../chaoyang-data/train/535997_1-IMG013x007-0.JPG
612,0,../chaoyang-data/train/535997_1-IMG014x012-0.JPG
1083,0,../chaoyang-data/train/537688_4-IMG004x009-0.JPG
524,3,../chaoyang-data/train/535988-IMG013x009-3.JPG
1137,0,../chaoyang-data/train/537699-IMG010x008-0.JPG
682,0,../chaoyang-data/train/536706_1-IMG012x007-0.JPG
2548,2,../chaoyang-data/train/539668_1-IMG013x024-2.JPG
2100,3,../chaoyang-data/train/538880-3-IMG028x022-3.JPG
3029,2,../chaoyang-data/train/541311_1-IMG039x026-2.JPG
343,0,../chaoyang-data/train/535954-IMG013x008-0.JPG
3143,1,../chaoyang-data/train/541500-IMG030x014-1.JPG
771,3,../chaoyang-data/train/536707_2-IMG005x011-3.JPG
1853,3,../chaoyang-data/train/538880-3-IMG011x025-3.JPG
831,0,../chaoyang-data/train/536709_1-IMG009x011-0.JPG
2544,2,../chaoyang-data/train/539668_1-IMG013x018-2.JPG
180,0,../chaoyang-data/train/535943_1-IMG004x014-0.JPG
3945,2,../chaoyang-data/train/543716-IMG007x013-2.JPG
2538,2,../chaoyang-data/train/539668_1-IMG012x020-2.JPG
1018,0,../chaoyang-data/train/537501-IMG006x016-0.JPG
3574,1,../chaoyang-data/train/543358_3-IMG008x007-1.JPG
2847,2,../chaoyang-data/train/540293_1-IMG016x025-2.JPG
2553,2,../chaoyang-data/train/539668_1-IMG013x029-2.JPG
2900,2,../chaoyang-data/train/540293_1-IMG020x014-2.JPG
75,2,../chaoyang-data/train/535940-IMG017x008-2.JPG
1546,1,../chaoyang-data/train/538844-3-IMG015x013-1.JPG
3020,2,../chaoyang-data/train/541311_1-IMG036x022-2.JPG
3869,3,../chaoyang-data/train/543645_3-IMG011x016-3.JPG
2362,2,../chaoyang-data/train/539085_2-IMG012x017-2.JPG
1672,3,../chaoyang-data/train/538879-1-IMG016x021-3.JPG
746,3,../chaoyang-data/train/536707_1-IMG009x013-3.JPG
3540,2,../chaoyang-data/train/543358_1-IMG022x011-2.JPG
3534,2,../chaoyang-data/train/543358_1-IMG020x017-2.JPG
114,2,../chaoyang-data/train/535940-IMG022x020-2.JPG
2745,1,../chaoyang-data/train/539972_2-IMG024x011-1.JPG
3264,2,../chaoyang-data/train/541831-IMG042x042-2.JPG
2968,2,../chaoyang-data/train/540293_2-IMG031x006-2.JPG
561,3,../chaoyang-data/train/535990_2-IMG013x029-3.JPG
1957,1,../chaoyang-data/train/538880-3-IMG017x050-1.JPG
1418,0,../chaoyang-data/train/538842_1-IMG007x003-0.JPG
3077,2,../chaoyang-data/train/541500-IMG012x011-2.JPG
223,0,../chaoyang-data/train/535943_2-IMG009x014-0.JPG
3439,2,../chaoyang-data/train/543086_1-IMG019x021-2.JPG
1227,0,../chaoyang-data/train/537705-IMG006x003-0.JPG
1265,3,../chaoyang-data/train/537839_2-IMG005x012-3.JPG
291,0,../chaoyang-data/train/535953-IMG022x013-0.JPG
604,0,../chaoyang-data/train/535997_1-IMG013x008-0.JPG
2550,2,../chaoyang-data/train/539668_1-IMG013x026-2.JPG
1965,1,../chaoyang-data/train/538880-3-IMG018x049-1.JPG
477,0,../chaoyang-data/train/535960-IMG009x007-0.JPG
3795,2,../chaoyang-data/train/543645_1-IMG039x026-2.JPG
3348,2,../chaoyang-data/train/542441-IMG025x011-2.JPG
1261,0,../chaoyang-data/train/537723-IMG012x007-0.JPG
1921,3,../chaoyang-data/train/538880-3-IMG015x024-3.JPG
2070,3,../chaoyang-data/train/538880-3-IMG026x026-3.JPG
1529,0,../chaoyang-data/train/538844-2-IMG013x007-0.JPG
1774,3,../chaoyang-data/train/538879-2-IMG021x008-3.JPG
898,1,../chaoyang-data/train/536709_1-IMG014x017-1.JPG
181,0,../chaoyang-data/train/535943_1-IMG005x006-0.JPG
1634,0,../chaoyang-data/train/538850-IMG005x039-0.JPG
873,0,../chaoyang-data/train/536709_1-IMG012x015-0.JPG
2352,2,../chaoyang-data/train/539085_2-IMG007x016-2.JPG
3191,1,../chaoyang-data/train/541831-IMG020x030-1.JPG
1967,1,../chaoyang-data/train/538880-3-IMG018x051-1.JPG
2368,2,../chaoyang-data/train/539085_2-IMG013x018-2.JPG
883,0,../chaoyang-data/train/536709_1-IMG013x011-0.JPG
203,0,../chaoyang-data/train/535943_1-IMG007x006-0.JPG
791,0,../chaoyang-data/train/536707_2-IMG013x007-0.JPG
363,1,../chaoyang-data/train/535956-IMG008x009-1.JPG
3431,2,../chaoyang-data/train/543086_1-IMG014x023-2.JPG
2529,2,../chaoyang-data/train/539668_1-IMG011x021-2.JPG
1676,3,../chaoyang-data/train/538879-1-IMG017x025-3.JPG
2453,0,../chaoyang-data/train/539364-IMG005x004-0.JPG
117,2,../chaoyang-data/train/535940-IMG022x027-2.JPG
1481,1,../chaoyang-data/train/538844-1-IMG007x044-1.JPG
3446,2,../chaoyang-data/train/543086_1-IMG020x023-2.JPG
3565,3,../chaoyang-data/train/543358_2-IMG013x009-3.JPG
2721,0,../chaoyang-data/train/539972_2-IMG017x040-0.JPG
1877,3,../chaoyang-data/train/538880-3-IMG013x017-3.JPG
2635,2,../chaoyang-data/train/539668_1-IMG024x018-2.JPG
889,0,../chaoyang-data/train/536709_1-IMG013x017-0.JPG
3314,2,../chaoyang-data/train/542441-IMG018x018-2.JPG
2373,2,../chaoyang-data/train/539085_2-IMG014x012-2.JPG
1598,0,../chaoyang-data/train/538849-1-IMG007x011-0.JPG
993,1,../chaoyang-data/train/536749-IMG014x007-1.JPG
1658,1,../chaoyang-data/train/538879-1-IMG013x029-1.JPG
3050,2,../chaoyang-data/train/541311_3-IMG014x012-2.JPG
3347,2,../chaoyang-data/train/542441-IMG025x009-2.JPG
3986,2,../chaoyang-data/train/543716-IMG013x007-2.JPG
476,0,../chaoyang-data/train/535960-IMG009x006-0.JPG
2410,0,../chaoyang-data/train/539085_2-IMG027x020-0.JPG
18,2,../chaoyang-data/train/535940-IMG010x022-2.JPG
2631,2,../chaoyang-data/train/539668_1-IMG023x020-2.JPG
2543,2,../chaoyang-data/train/539668_1-IMG012x029-2.JPG
3382,2,../chaoyang-data/train/543086_1-IMG005x012-2.JPG
4015,2,../chaoyang-data/train/543716-IMG016x017-2.JPG
428,0,../chaoyang-data/train/535957-IMG013x007-0.JPG
504,0,../chaoyang-data/train/535960-IMG014x006-0.JPG
3820,3,../chaoyang-data/train/543645_2-IMG010x014-3.JPG
1113,0,../chaoyang-data/train/537697-IMG006x008-0.JPG
3991,2,../chaoyang-data/train/543716-IMG013x013-2.JPG
1013,1,../chaoyang-data/train/537501-IMG006x006-1.JPG
1039,0,../chaoyang-data/train/537501-IMG009x015-0.JPG
3708,1,../chaoyang-data/train/543645_1-IMG016x010-1.JPG
1004,3,../chaoyang-data/train/537500-IMG006x006-3.JPG
2997,2,../chaoyang-data/train/540293_3-IMG020x011-2.JPG
2010,1,../chaoyang-data/train/538880-3-IMG021x053-1.JPG
535,3,../chaoyang-data/train/535990_2-IMG009x026-3.JPG
1669,1,../chaoyang-data/train/538879-1-IMG015x029-1.JPG
2580,2,../chaoyang-data/train/539668_1-IMG017x026-2.JPG
2063,3,../chaoyang-data/train/538880-3-IMG025x039-3.JPG
1177,0,../chaoyang-data/train/537702-IMG007x010-0.JPG
2760,2,../chaoyang-data/train/539972_2-IMG030x017-2.JPG
3590,2,../chaoyang-data/train/543358_3-IMG012x019-2.JPG
2492,2,../chaoyang-data/train/539668_1-IMG008x015-2.JPG
3513,2,../chaoyang-data/train/543358_1-IMG011x008-2.JPG
3037,3,../chaoyang-data/train/541311_2-IMG014x023-3.JPG
247,0,../chaoyang-data/train/535953-IMG009x007-0.JPG
2075,3,../chaoyang-data/train/538880-3-IMG026x053-3.JPG
1605,1,../chaoyang-data/train/538849-1-IMG009x009-1.JPG
393,1,../chaoyang-data/train/535956-IMG013x005-1.JPG
1746,3,../chaoyang-data/train/538879-2-IMG003x011-3.JPG
1751,3,../chaoyang-data/train/538879-2-IMG005x014-3.JPG
3874,3,../chaoyang-data/train/543645_3-IMG019x012-3.JPG
2147,1,../chaoyang-data/train/538880-3-IMG032x023-1.JPG
77,2,../chaoyang-data/train/535940-IMG017x010-2.JPG
759,0,../chaoyang-data/train/536707_1-IMG012x010-0.JPG
1108,0,../chaoyang-data/train/537690_3-IMG006x010-0.JPG
3480,3,../chaoyang-data/train/543086_2-IMG017x010-3.JPG
3553,1,../chaoyang-data/train/543358_2-IMG010x007-1.JPG
3765,2,../chaoyang-data/train/543645_1-IMG035x024-2.JPG
39,2,../chaoyang-data/train/535940-IMG013x015-2.JPG
926,0,../chaoyang-data/train/536709_1-IMG017x022-0.JPG
538,0,../chaoyang-data/train/535990_2-IMG010x011-0.JPG
332,0,../chaoyang-data/train/535954-IMG011x009-0.JPG
3845,1,../chaoyang-data/train/543645_2-IMG017x005-1.JPG
3053,2,../chaoyang-data/train/541311_3-IMG014x021-2.JPG
1763,3,../chaoyang-data/train/538879-2-IMG013x010-3.JPG
2713,0,../chaoyang-data/train/539972_2-IMG015x024-0.JPG
3342,2,../chaoyang-data/train/542441-IMG024x009-2.JPG
1543,1,../chaoyang-data/train/538844-3-IMG014x013-1.JPG
3275,2,../chaoyang-data/train/542441-IMG009x014-2.JPG
2582,1,../chaoyang-data/train/539668_1-IMG018x005-1.JPG
2907,2,../chaoyang-data/train/540293_1-IMG020x024-2.JPG
3450,2,../chaoyang-data/train/543086_1-IMG021x026-2.JPG
3411,2,../chaoyang-data/train/543086_1-IMG011x021-2.JPG
2367,2,../chaoyang-data/train/539085_2-IMG013x015-2.JPG
1286,0,../chaoyang-data/train/537839_3-IMG008x006-0.JPG
2656,3,../chaoyang-data/train/539972_1-IMG010x005-3.JPG
2055,3,../chaoyang-data/train/538880-3-IMG025x025-3.JPG
3666,2,../chaoyang-data/train/543645_1-IMG012x031-2.JPG
2688,0,../chaoyang-data/train/539972_2-IMG012x011-0.JPG
1880,3,../chaoyang-data/train/538880-3-IMG013x022-3.JPG
3866,3,../chaoyang-data/train/543645_3-IMG010x012-3.JPG
2571,2,../chaoyang-data/train/539668_1-IMG016x023-2.JPG
3232,2,../chaoyang-data/train/541831-IMG030x034-2.JPG
1378,1,../chaoyang-data/train/538708-IMG016x010-1.JPG
3973,2,../chaoyang-data/train/543716-IMG011x016-2.JPG
964,0,../chaoyang-data/train/536719-IMG006x011-0.JPG
1919,3,../chaoyang-data/train/538880-3-IMG015x019-3.JPG
3975,2,../chaoyang-data/train/543716-IMG012x007-2.JPG
4014,2,../chaoyang-data/train/543716-IMG016x013-2.JPG
373,0,../chaoyang-data/train/535956-IMG009x010-0.JPG
2808,2,../chaoyang-data/train/540293_1-IMG013x019-2.JPG
655,0,../chaoyang-data/train/536706_1-IMG009x007-0.JPG
1394,1,../chaoyang-data/train/538721-IMG010x008-1.JPG
2353,2,../chaoyang-data/train/539085_2-IMG008x013-2.JPG
922,0,../chaoyang-data/train/536709_1-IMG017x018-0.JPG
544,3,../chaoyang-data/train/535990_2-IMG010x028-3.JPG
1772,3,../chaoyang-data/train/538879-2-IMG020x011-3.JPG
3465,2,../chaoyang-data/train/543086_1-IMG026x018-2.JPG
3763,2,../chaoyang-data/train/543645_1-IMG035x022-2.JPG
2962,2,../chaoyang-data/train/540293_2-IMG026x007-2.JPG
3802,2,../chaoyang-data/train/543645_1-IMG040x026-2.JPG
3516,2,../chaoyang-data/train/543358_1-IMG011x016-2.JPG
3297,2,../chaoyang-data/train/542441-IMG015x011-2.JPG
3030,2,../chaoyang-data/train/541311_1-IMG040x024-2.JPG
1735,1,../chaoyang-data/train/538879-1-IMG037x026-1.JPG
1466,2,../chaoyang-data/train/538842_2-IMG019x013-2.JPG
2171,3,../chaoyang-data/train/538880-3-IMG035x027-3.JPG
1508,0,../chaoyang-data/train/538844-2-IMG008x004-0.JPG
1048,1,../chaoyang-data/train/537501-IMG012x010-1.JPG
115,2,../chaoyang-data/train/535940-IMG022x023-2.JPG
1517,1,../chaoyang-data/train/538844-2-IMG010x011-1.JPG
3908,2,../chaoyang-data/train/543645_4-IMG010x005-2.JPG
3980,2,../chaoyang-data/train/543716-IMG012x014-2.JPG
3872,3,../chaoyang-data/train/543645_3-IMG015x010-3.JPG
2864,2,../chaoyang-data/train/540293_1-IMG017x024-2.JPG
3117,1,../chaoyang-data/train/541500-IMG021x006-1.JPG
415,3,../chaoyang-data/train/535957-IMG007x004-3.JPG
2884,2,../chaoyang-data/train/540293_1-IMG019x012-2.JPG
2233,1,../chaoyang-data/train/538898-IMG005x014-1.JPG
1613,1,../chaoyang-data/train/538849-1-IMG011x015-1.JPG
2286,0,../chaoyang-data/train/538899-IMG015x016-0.JPG
1552,3,../chaoyang-data/train/538844-4-IMG009x039-3.JPG
3877,3,../chaoyang-data/train/543645_3-IMG026x023-3.JPG
2180,1,../chaoyang-data/train/538880-3-IMG037x022-1.JPG
2926,2,../chaoyang-data/train/540293_1-IMG022x021-2.JPG
683,0,../chaoyang-data/train/536706_1-IMG012x010-0.JPG
1843,1,../chaoyang-data/train/538880-3-IMG010x047-1.JPG
3889,2,../chaoyang-data/train/543645_4-IMG007x011-2.JPG
471,0,../chaoyang-data/train/535960-IMG008x007-0.JPG
281,0,../chaoyang-data/train/535953-IMG018x010-0.JPG
3569,3,../chaoyang-data/train/543358_2-IMG015x006-3.JPG
2599,1,../chaoyang-data/train/539668_1-IMG020x007-1.JPG
2330,3,../chaoyang-data/train/539085_1-IMG005x006-3.JPG
1610,1,../chaoyang-data/train/538849-1-IMG011x011-1.JPG
940,0,../chaoyang-data/train/536709_1-IMG019x020-0.JPG
3743,2,../chaoyang-data/train/543645_1-IMG027x009-2.JPG
3533,2,../chaoyang-data/train/543358_1-IMG020x016-2.JPG
775,1,../chaoyang-data/train/536707_2-IMG006x008-1.JPG
3000,2,../chaoyang-data/train/540293_3-IMG021x018-2.JPG
277,0,../chaoyang-data/train/535953-IMG015x009-0.JPG
3916,2,../chaoyang-data/train/543645_4-IMG011x007-2.JPG
2715,0,../chaoyang-data/train/539972_2-IMG015x039-0.JPG
3212,2,../chaoyang-data/train/541831-IMG025x017-2.JPG
1770,3,../chaoyang-data/train/538879-2-IMG020x007-3.JPG
161,2,../chaoyang-data/train/535940-IMG027x013-2.JPG
3076,1,../chaoyang-data/train/541500-IMG012x010-1.JPG
1308,2,../chaoyang-data/train/538377-IMG009x014-2.JPG
1718,1,../chaoyang-data/train/538879-1-IMG033x023-1.JPG
1745,0,../chaoyang-data/train/538879-1-IMG041x024-0.JPG
2199,3,../chaoyang-data/train/538880-3-IMG039x044-3.JPG
513,3,../chaoyang-data/train/535988-IMG011x005-3.JPG
183,0,../chaoyang-data/train/535943_1-IMG005x010-0.JPG
2168,1,../chaoyang-data/train/538880-3-IMG035x021-1.JPG
251,0,../chaoyang-data/train/535953-IMG010x008-0.JPG
155,2,../chaoyang-data/train/535940-IMG026x023-2.JPG
1796,3,../chaoyang-data/train/538880-3-IMG003x025-3.JPG
3722,2,../chaoyang-data/train/543645_1-IMG019x008-2.JPG
675,0,../chaoyang-data/train/536706_1-IMG011x008-0.JPG
753,0,../chaoyang-data/train/536707_1-IMG010x012-0.JPG
3870,3,../chaoyang-data/train/543645_3-IMG012x015-3.JPG
1495,1,../chaoyang-data/train/538844-1-IMG011x050-1.JPG
847,0,../chaoyang-data/train/536709_1-IMG010x014-0.JPG
3440,2,../chaoyang-data/train/543086_1-IMG020x006-2.JPG
2424,0,../chaoyang-data/train/539085_2-IMG030x020-0.JPG
3174,3,../chaoyang-data/train/541831-IMG017x032-3.JPG
83,2,../chaoyang-data/train/535940-IMG018x009-2.JPG
2219,1,../chaoyang-data/train/538897-1-IMG009x008-1.JPG
2797,2,../chaoyang-data/train/540293_1-IMG011x030-2.JPG
156,2,../chaoyang-data/train/535940-IMG026x026-2.JPG
2643,2,../chaoyang-data/train/539668_1-IMG026x019-2.JPG
3325,1,../chaoyang-data/train/542441-IMG019x026-1.JPG
3406,2,../chaoyang-data/train/543086_1-IMG009x025-2.JPG
1924,1,../chaoyang-data/train/538880-3-IMG015x048-1.JPG
3014,1,../chaoyang-data/train/541311_1-IMG031x011-1.JPG
2850,2,../chaoyang-data/train/540293_1-IMG016x032-2.JPG
646,0,../chaoyang-data/train/536706_1-IMG008x009-0.JPG
642,0,../chaoyang-data/train/536706_1-IMG007x016-0.JPG
1674,3,../chaoyang-data/train/538879-1-IMG017x022-3.JPG
1430,0,../chaoyang-data/train/538842_1-IMG011x007-0.JPG
202,0,../chaoyang-data/train/535943_1-IMG007x005-0.JPG
1071,0,../chaoyang-data/train/537688_2-IMG010x004-0.JPG
2899,2,../chaoyang-data/train/540293_1-IMG020x013-2.JPG
1202,0,../chaoyang-data/train/537702-IMG012x011-0.JPG
573,3,../chaoyang-data/train/535990_2-IMG016x024-3.JPG
2929,2,../chaoyang-data/train/540293_1-IMG023x016-2.JPG
2487,2,../chaoyang-data/train/539668_1-IMG008x007-2.JPG
1801,3,../chaoyang-data/train/538880-3-IMG005x028-3.JPG
194,0,../chaoyang-data/train/535943_1-IMG006x009-0.JPG
2949,2,../chaoyang-data/train/540293_2-IMG020x017-2.JPG
543,3,../chaoyang-data/train/535990_2-IMG010x024-3.JPG
361,0,../chaoyang-data/train/535956-IMG008x007-0.JPG
632,0,../chaoyang-data/train/535997_2-IMG009x009-0.JPG
152,2,../chaoyang-data/train/535940-IMG026x019-2.JPG
3111,2,../chaoyang-data/train/541500-IMG019x009-2.JPG
1791,3,../chaoyang-data/train/538879-2-IMG024x009-3.JPG
934,0,../chaoyang-data/train/536709_1-IMG018x022-0.JPG
296,0,../chaoyang-data/train/535954-IMG006x007-0.JPG
828,0,../chaoyang-data/train/536709_1-IMG008x019-0.JPG
1536,1,../chaoyang-data/train/538844-3-IMG009x014-1.JPG
3978,2,../chaoyang-data/train/543716-IMG012x010-2.JPG
2370,2,../chaoyang-data/train/539085_2-IMG014x006-2.JPG
3656,2,../chaoyang-data/train/543645_1-IMG012x020-2.JPG
1943,3,../chaoyang-data/train/538880-3-IMG016x051-3.JPG
2751,1,../chaoyang-data/train/539972_2-IMG026x010-1.JPG
321,0,../chaoyang-data/train/535954-IMG010x005-0.JPG
357,1,../chaoyang-data/train/535956-IMG007x011-1.JPG
335,0,../chaoyang-data/train/535954-IMG012x005-0.JPG
3804,2,../chaoyang-data/train/543645_1-IMG041x022-2.JPG
303,0,../chaoyang-data/train/535954-IMG007x009-0.JPG
1716,0,../chaoyang-data/train/538879-1-IMG033x017-0.JPG
1856,3,../chaoyang-data/train/538880-3-IMG011x033-3.JPG
2256,0,../chaoyang-data/train/538899-IMG005x017-0.JPG
879,0,../chaoyang-data/train/536709_1-IMG013x007-0.JPG
2314,1,../chaoyang-data/train/538902-IMG010x008-1.JPG
805,0,../chaoyang-data/train/536707_2-IMG016x009-0.JPG
68,2,../chaoyang-data/train/535940-IMG016x008-2.JPG
1800,1,../chaoyang-data/train/538880-3-IMG005x023-1.JPG
2812,2,../chaoyang-data/train/540293_1-IMG014x017-2.JPG
1057,0,../chaoyang-data/train/537501-IMG016x012-0.JPG
2030,1,../chaoyang-data/train/538880-3-IMG023x010-1.JPG
3479,3,../chaoyang-data/train/543086_2-IMG016x012-3.JPG
2676,0,../chaoyang-data/train/539972_2-IMG007x035-0.JPG
2443,1,../chaoyang-data/train/539362-IMG008x008-1.JPG
188,0,../chaoyang-data/train/535943_1-IMG005x015-0.JPG
2509,2,../chaoyang-data/train/539668_1-IMG009x019-2.JPG
2924,2,../chaoyang-data/train/540293_1-IMG022x019-2.JPG
2447,0,../chaoyang-data/train/539362-IMG009x011-0.JPG
2278,0,../chaoyang-data/train/538899-IMG012x015-0.JPG
3182,1,../chaoyang-data/train/541831-IMG019x030-1.JPG
3793,2,../chaoyang-data/train/543645_1-IMG039x024-2.JPG
845,0,../chaoyang-data/train/536709_1-IMG010x012-0.JPG
2398,2,../chaoyang-data/train/539085_2-IMG020x015-2.JPG
3521,2,../chaoyang-data/train/543358_1-IMG012x016-2.JPG
1447,2,../chaoyang-data/train/538842_2-IMG003x005-2.JPG
856,0,../chaoyang-data/train/536709_1-IMG011x011-0.JPG
3081,1,../chaoyang-data/train/541500-IMG013x015-1.JPG
1053,0,../chaoyang-data/train/537501-IMG013x014-0.JPG
3492,2,../chaoyang-data/train/543358_1-IMG007x018-2.JPG
1711,0,../chaoyang-data/train/538879-1-IMG032x017-0.JPG
3608,2,../chaoyang-data/train/543645_1-IMG005x024-2.JPG
2351,2,../chaoyang-data/train/539085_2-IMG007x012-2.JPG
2936,2,../chaoyang-data/train/540293_2-IMG012x004-2.JPG
2263,0,../chaoyang-data/train/538899-IMG009x012-0.JPG
3660,2,../chaoyang-data/train/543645_1-IMG012x025-2.JPG
249,0,../chaoyang-data/train/535953-IMG009x010-0.JPG
2399,2,../chaoyang-data/train/539085_2-IMG021x006-2.JPG
2152,3,../chaoyang-data/train/538880-3-IMG032x050-3.JPG
3935,3,../chaoyang-data/train/543645_5-IMG014x014-3.JPG
271,0,../chaoyang-data/train/535953-IMG014x007-0.JPG
1123,0,../chaoyang-data/train/537699-IMG007x006-0.JPG
1820,3,../chaoyang-data/train/538880-3-IMG008x030-3.JPG
2304,3,../chaoyang-data/train/538899-IMG021x009-3.JPG
2940,2,../chaoyang-data/train/540293_2-IMG013x013-2.JPG
3940,3,../chaoyang-data/train/543645_5-IMG015x012-3.JPG
1371,1,../chaoyang-data/train/538708-IMG010x079-1.JPG
3178,2,../chaoyang-data/train/541831-IMG019x013-2.JPG
1692,3,../chaoyang-data/train/538879-1-IMG028x018-3.JPG
1665,1,../chaoyang-data/train/538879-1-IMG015x023-1.JPG
2272,0,../chaoyang-data/train/538899-IMG011x012-0.JPG
949,1,../chaoyang-data/train/536709_1-IMG024x014-1.JPG
191,0,../chaoyang-data/train/535943_1-IMG006x006-0.JPG
1100,0,../chaoyang-data/train/537690_2-IMG011x010-0.JPG
955,0,../chaoyang-data/train/536719-IMG005x006-0.JPG
431,0,../chaoyang-data/train/535957-IMG013x011-0.JPG
591,0,../chaoyang-data/train/535997_1-IMG011x007-0.JPG
639,0,../chaoyang-data/train/536706_1-IMG006x016-0.JPG
2106,3,../chaoyang-data/train/538880-3-IMG028x039-3.JPG
1719,1,../chaoyang-data/train/538879-1-IMG033x024-1.JPG
3566,3,../chaoyang-data/train/543358_2-IMG014x004-3.JPG
2059,3,../chaoyang-data/train/538880-3-IMG025x029-3.JPG
1963,3,../chaoyang-data/train/538880-3-IMG018x030-3.JPG
3424,2,../chaoyang-data/train/543086_1-IMG013x019-2.JPG
190,0,../chaoyang-data/train/535943_1-IMG006x005-0.JPG
1243,0,../chaoyang-data/train/537723-IMG007x004-0.JPG
150,2,../chaoyang-data/train/535940-IMG026x014-2.JPG
189,0,../chaoyang-data/train/535943_1-IMG006x004-0.JPG
3538,2,../chaoyang-data/train/543358_1-IMG022x008-2.JPG
2455,0,../chaoyang-data/train/539364-IMG010x017-0.JPG
3085,2,../chaoyang-data/train/541500-IMG015x004-2.JPG
1538,1,../chaoyang-data/train/538844-3-IMG010x011-1.JPG
57,2,../chaoyang-data/train/535940-IMG014x027-2.JPG
3493,2,../chaoyang-data/train/543358_1-IMG008x008-2.JPG
631,3,../chaoyang-data/train/535997_2-IMG009x008-3.JPG
758,0,../chaoyang-data/train/536707_1-IMG012x009-0.JPG
2472,2,../chaoyang-data/train/539668_1-IMG006x028-2.JPG
2947,2,../chaoyang-data/train/540293_2-IMG017x009-2.JPG
2268,0,../chaoyang-data/train/538899-IMG010x014-0.JPG
694,0,../chaoyang-data/train/536706_2-IMG007x009-0.JPG
213,0,../chaoyang-data/train/535943_1-IMG008x007-0.JPG
2649,3,../chaoyang-data/train/539972_1-IMG008x009-3.JPG
3127,1,../chaoyang-data/train/541500-IMG023x018-1.JPG
419,0,../chaoyang-data/train/535957-IMG007x014-0.JPG
3620,2,../chaoyang-data/train/543645_1-IMG008x028-2.JPG
2835,2,../chaoyang-data/train/540293_1-IMG016x009-2.JPG
849,0,../chaoyang-data/train/536709_1-IMG010x016-0.JPG
2870,2,../chaoyang-data/train/540293_1-IMG018x014-2.JPG
2128,1,../chaoyang-data/train/538880-3-IMG030x009-1.JPG
2466,2,../chaoyang-data/train/539668_1-IMG005x028-2.JPG
1126,0,../chaoyang-data/train/537699-IMG007x012-0.JPG
2309,0,../chaoyang-data/train/538899-IMG023x007-0.JPG
2179,1,../chaoyang-data/train/538880-3-IMG037x021-1.JPG
1747,1,../chaoyang-data/train/538879-2-IMG003x014-1.JPG
2126,3,../chaoyang-data/train/538880-3-IMG029x055-3.JPG
506,3,../chaoyang-data/train/535988-IMG004x006-3.JPG
0,1,../chaoyang-data/train/353042_4-IMG005x014-1.JPG
2701,0,../chaoyang-data/train/539972_2-IMG013x041-0.JPG
1743,0,../chaoyang-data/train/538879-1-IMG041x019-0.JPG
